Country,Books,Book1,Title1,Author1,Book2,Title2,Author2,Book3,Title3,Author3
Malta,Immanuel Mifsud Happy Weekend / Pierre Mejlak / Simon Bartolo / Oliver Friggieri / Herbert Ganado My Century / Trevor Zahra / Kilin (Mikiel Spiteri),Immanuel Mifsud Happy Weekend,,,Pierre Mejlak,,,Simon Bartolo,,
Marshall Islands,Islands Ed Daniel Kelin Marshall Islands Legends and Stories / Marshallese school students (the Unbound Bookmaker Project) The Important Book about Majuro / Jack Niedenthal For the Good of Mankind / Bob Barclay In Melal: A Novel of the Pacific / Dirk R Spennemann Bwebwenatoon etto: a collection of Marshallese legends and traditions,Islands Ed Daniel Kelin Marshall Islands Legends and Stories,,,Marshallese school students (the Unbound Bookmaker Project) The Important Book about Majuro,,,Jack Niedenthal For the Good of Mankind,,
Mauritania,Mohamed Bouya Bamba Angels of Mauritania and the Curse of the Language / Mbarek Ould Beyrouk The Desert and the Drum,Mohamed Bouya Bamba Angels of Mauritania and the Curse of the Language,,,Mbarek Ould Beyrouk The Desert and the Dru,,,None,,
Mauritius,Anand Mulloo Watch Them Go Down / Barlen Pyamootoo Benares,Anand Mulloo Watch Them Go Down,,,Barlen Pyamootoo Benare,,,None,,
Mexico,Juan Pablo Villalobos Down the Rabbit Hole / Octavio Paz The Labyrinth of Solitude (trans. Lysander Kemp) / Laura Esquivel Like Water for Chocolate (trans. Carol Christensen and Thomas Christensen) / Martín Solares The Black Minutes / Carlos Fuentes / Jorge Volpi / Rosario Castellanos / Carmen Boullosa / Mario Bellatín / Elena Garro / Juan Rulfo / Elena Poniatowska / Sergio Pitol / Juan Rulfo Pedro Paramo / Valeria Luiselli Faces in the Crowd / Fernanda Melchor Hurricane Season,Juan Pablo Villalobos Down the Rabbit Hole,,,Octavio Paz The Labyrinth of Solitude (trans. Lysander Kemp),,,Laura Esquivel Like Water for Chocolate (trans. Carol Christensen and Thomas Christensen),,
Federated States Of Micronesia,Federated States of Luelen Bernart The Book of Luelen,Luelen Bernart The Book of Luele,,,None,,,None,,
Republic Of Moldova,Ion Drutse Moldavian Autumn; The Story of an Ant / Vladimir Lorchenkov The Good Life Elsewhere,Ion Drutse Moldavian Autumn; The Story of an Ant,,,Vladimir Lorchenkov The Good Life Elsewher,,,None,,
Monaco,ed. Richard and Danae Projetti Grace Kelly: Princesse du Cinema,ed. Richard and Danae Projetti Grace Kelly: Princesse du Cinem,,,None,,,None,,
Mongolia,Galsan Tschinag The Blue Sky,Galsan Tschinag The Blue Sk,,,None,,,None,,
Montenegro,Petar II Petrovi?-Njegoš The Mountain Wreath / Andrej Nikolaidis / Xenia Popovich A Lullaby for No Man’s Wolf,Petar II Petrovich-Njegosh The Mountain Wreath,,,Andrej Nikolaidis,,,Xenia Popovich A Lullaby for No Man’s Wol,,
Morocco,Diss Chraïbi Heirs to the Past; Le Passé Simple (The Simple Past) / Tahar Ben Jelloun The Sacred Night; The Sand Child; This Blinding Absence of Light (trans. Linda Coverdale); A Palace in the Old Village (trans. Linda Coverdale) / Bensalem Himmich The Polymath / Mohammed Achaari The Arch and the Butterfly / Fatima Mernissi / Muhammad Shukri For Bread Alone / Muhammad Barrada The Game of Forgetting,Diss Chraïbi Heirs to the Past; Le Passé Simple (The Simple Past),,,Tahar Ben Jelloun The Sacred Night; The Sand Child; This Blinding Absence of Light (trans. Linda Coverdale); A Palace in the Old Village (trans. Linda Coverdale),,,Bensalem Himmich The Polymath,,
Mozambique,Mia Couto The Sleepwalking Land; Under the Frangipani / Paulina Chiziane Niketche / Ungulani Ba Ka Khosa Ualalapi / Luis Bernardo Honwana We Killed Mangy Dog / Paulina Chiziane The First Wife,Mia Couto The Sleepwalking Land; Under the Frangipani,,,Paulina Chiziane Niketche,,,Ungulani Ba Ka Khosa Ualalapi,,
Myanmar,Cho Tu Zaw / Ma Thida / Nu Nu Yi Inwa Smile as they Bow,Amitav Ghosh The Glass Palace,,,Ma Thida,,,Nu Nu Yi Inwa Smile as they Bo,,
Namibia,Joseph Diescho Troubled Waters / Neshani Andreas The Purple Violet of Oshaantu,Joseph Diescho Troubled Waters,,,Neshani Andreas The Purple Violet of Oshaant,,,None,,
Nauru,"Timothy Detudamo Legends, Traditions and Tales of Nauru / Ben Bam Solomon et al Stories from Nauru","Timothy Detudamo Legends, Traditions and Tales of Nauru",,,Ben Bam Solomon et al Stories from Naur,,,None,,
Nepal,Samrat Upadhyay Buddha’s Orphans / Ajit Baral The Lazy Conman and Other Stories / Parijat Blue Mimosa / Jagadish Ghimire Antarman ko yatra / Prajwal Parajuly The Gurkha’s Daughter,Samrat Upadhyay Buddha’s Orphans,,,Ajit Baral The Lazy Conman and Other Stories,,,Parijat Blue Mimosa,,
Netherlands,Harry Mulisch The Discovery of Heaven / Cees Noteboom Lost Paradise; All Souls’ Day; Rituals / Tessa de Loo / Gerbrand Bakker The Twin / Kader Abdolah The House of the Mosque / Abdelkader Benali / Jan van Mersbergen Tomorrow Pamplona / Arthur Japin The Two Hearts of Kwasi Boachi / Tommy Wieringa Little Caesar / Bernlef Out of Mind / Jan Wolkers Turkish Delight / WF Hermans The Darkroom of Damocles / Arnon Grunberg Tirza; Skin and Hair / Esther Gerritsen Craving / Nescio Amsterdam Stories / Gerard Reve The Evenings / Herman Koch Dear Mr M,Harry Mulisch The Discovery of Heaven,,,Cees Noteboom Lost Paradise; All Souls’ Day; Rituals,,,Tessa de Loo,,
New Zealand,Zealand Charlotte Grimshaw Singularity / Maurice Shadbolt Season of the Jew / Keri Hulme The Bone People / Lloyd Jones Mr Pip / Alan Duff Once Were Warriors / Witi Ihimaera Tangi / Janet Frame / Patricia Grace Potiki / Eleanor Catton The Luminaries,Zealand Charlotte Grimshaw Singularity,,,Maurice Shadbolt Season of the Jew,,,Keri Hulme The Bone People,,
Nicaragua,Gioconda Belli Infinity in the Palm of her Hand,Gioconda Belli Infinity in the Palm of her Han,,,None,,,None,,
Niger,recounted by Nouhou Malio The Epic of Askia Mohammed,recounted by Nouhou Malio The Epic of Askia Mohamme,,,None,,,None,,
Nigeria,Wole Soyinka The Interpreters; Season of Anomy / Toyin Falola A Mouth Sweeter than Salt / Lola Shoneyin The Secret Lives of Baba Segi’s Wives / Chimamanda Ngozi Adichie Americanah; Half of a Yellow Sun / Chinua Achebe Things Fall Apart,Wole Soyinka The Interpreters; Season of Anomy,,,Toyin Falola A Mouth Sweeter than Salt,,,Lola Shoneyin The Secret Lives of Baba Segi’s Wives,,
North Korea,Korea Ri In Mo My Life and Faith / Kye Wol Hyang,Korea Ri In Mo My Life and Faith,,,Kye Wol Hyan,,,None,,
Norway,Karl Ove Knausgaard My Struggle / Per Petterson To Siberia; Out Stealing Horses (trans. Ann Born) / Knut Hamsun Hunger / Lars Saabye Christensen The Half Brother / Jan Wiese The Naked Madonna / Linn Ullmann Before You Sleep / Agnar Mykle Lasso Round the Moon / Gerd Brantenberg Egalia’s Daughters / Sigrid Undset Kristin Lavransdatter (trans. Tiina Nunnally) / Carl Frode Tiller Encircling / Tarjei Vesaas The Ice Palace / Helga Flatland A Modern Family,Karl Ove Knausgaard My Struggle,,,Per Petterson To Siberia; Out Stealing Horses (trans. Ann Born),,,Knut Hamsun Hunger,,
Oman,"Ibrahim Farghali Smiles of Saints / Khadija bint Alawi Al-Dhahab My Grandmother’s Stories / Unni Wikan Behind the Veil in Arabia: Women in Oman / Abdulaziz Al Farsi Earth Weeps, Saturn Laughs",Ibrahim Farghali Smiles of Saints,,,Khadija bint Alawi Al-Dhahab My Grandmother’s Stories,,,Unni Wikan Behind the Veil in Arabia: Women in Oman,,
Pakistan,"Mohsin Hamid Moth Smoke; The Reluctant Fundamentalist / Sara Suleri Meatless Days / Bapsi Sidhwa Ice Candy Man; An American Brat; The Pakistani Bride/ Bina Shah A Season for Martyrs; Slum Child / Jamil Ahmad The Wandering Falcon / Daniyal Mueenuddin In Other Rooms, Other Wonders / HM Naqvi Home Boy / Uzma Aslam Khan / Musharraf Ali Farooqi The Story of a Widow; Between Clay and Dust / Ali Sethi The Wish Maker / Kamila Shamsie Kartography; Broken Verses; Burnt Shadows / Mohammed Hanif / Bina Shah A Season for Martyrs",Mohsin Hamid Moth Smoke; The Reluctant Fundamentalist,,,Sara Suleri Meatless Days,,,Bapsi Sidhwa Ice Candy Man; An American Brat; The Pakistani Brid,,
Palau,Susan Kloulechad Spirits’ Tides,Susan Kloulechad Spirits’ Tide,,,None,,,None,,
Palestinian Territory,"Ibtisam Barakat Tasting the Sky: A Palestinian Childhood / Sahar Khalifeh Wild Thorns / Susan Abulhawa Mornings in Jenin / Mahmoud Shukair Mordechai’s Moustache and his Wife’s Cats, and Other Stories",Ibtisam Barakat Tasting the Sky: A Palestinian Childhood,,,Sahar Khalifeh Wild Thorns,,,Susan Abulhawa Mornings in Jenin,,
Panama,Juan David Morgan The Golden Horse / Carlos Russell,Juan David Morgan The Golden Horse,,,Carlos Russel,,,None,,
Papua New Guinea,New Guinea Russell Soaba Maiba / Regis Stella Gutsini Posa; Mata Sara / Russell Soaba Maiba / Bernard Narokobi Two Seasons / Vincent Eri The Crocodile / Nash Sorariba / Michael Somare Sana /,New Guinea Russell Soaba Maiba,,,Regis Stella Gutsini Posa; Mata Sara,,,Russell Soaba Maiba,,
Paraguay,"Augusto Roa Bastos I, the Supreme","Augusto Roa Bastos I, the Suprem",,,None,,,None,,
Peru,"Mario Vargas Llosa Death in the Andes; Aunt Julia and the Scriptwriter (trans. Ursule Molinaro, Hedwig Rappolt); The Storyteller (trans. Helen Lane) / Jaime Bayly / José María Arguedas / Santiago Roncagliolo","Mario Vargas Llosa Death in the Andes; Aunt Julia and the Scriptwriter (trans. Ursule Molinaro, Hedwig Rappolt); The Storyteller (trans. Helen Lane)",,,Jaime Bayly,,,José María Arguedas,,
Philippines,Charlson Ong / Joel Toledo / Miguel Syjuco Illustrado / F Sionil José / Jessica Hagedorn Dogeaters / Bino Realuyo The Umbrella Country / Ninotchka Rosca State of War / Azucena Grajo Uranza Bamboo in the Wind / Marivi Soliven The Mango Bride,Charlson Ong,,,Joel Toledo,,,Miguel Syjuco Illustrado,,
Poland,"Stanislaw Lem / Olga Tokarczuk Primeval and Other Times; House of Day, House of Night / Pawel Huelle Cold Sea Tales; Castorp; The Last Supper; Mercedes Benz/ Zygmunt Miloszewski Entanglement; A Grain of Truth/ Witold Gombrowicz Pornografia / Wies?aw My?liwski Stone upon Stone / Magdalena Tulli In Red / Dorota Maslowska Snow White and Russian Red / Marek Krajewski The Eberhard Mock books / Grazyna Plebanek Illegal Liaisons / Antoni Libera Madame / Andrzej Stasiuk On the Road to Babadag; Dukla; Fado; Nine; White Raven / Stefan Chwin Death in Danzig / Michal Witkowski Lovetown / Jacek Hugo-Bader White Fever / Wojciech Jagielski The Night Wanderers / Kazimierz Moczarski Conversations with an Executioner / Wojciech Tochman Like Eating a Stone / Olga Tokarczuk Flights",Stanislaw Lem,,,"Olga Tokarczuk Primeval and Other Times; House of Day, House of Night",,,Pawel Huelle Cold Sea Tales; Castorp; The Last Supper; Mercedes Ben,,
Portugal,Eca de Queiroz The Mandarin and Other Stories / José Saramago Blindness; The Year of the Death of Ricardo Reis; The Gospel According to Jesus Christ / Fernando Pessoa / Pero Vaz de Caminha Carta de Pêro Vaz de Caminha / Agustina Bessa-Luís,Eca de Queiroz The Mandarin and Other Stories,,,José Saramago Blindness; The Year of the Death of Ricardo Reis; The Gospel According to Jesus Christ,,,Fernando Pessoa,,
Puerto Rico,None,Esmeralda Santiago Conquistadora,,,None,,,None,,
Qatar,Mohammed Ali Victory over Abu Derya: The Quest for Pearls in the Arabian Gulf / Abdul Aziz Al Mahmoud The Corsair,Mohammed Ali Victory over Abu Derya: The Quest for Pearls in the Arabian Gulf,,,Abdul Aziz Al Mahmoud The Corsai,,,None,,
Romania,Herta Müller The Passport / Filip and Matei Florian The Baiut Alley Lads / Mircea Cartarescu / Mircea Eliade / Bogdan Teodorescu Sword,Herta Müller The Passport,,,Filip and Matei Florian The Baiut Alley Lads,,,Mircea Cartarescu,,
Russia,Alina Bronsky The Hottest Dishes of the Tartar Cuisine / Aleksandr Solzhenitsyn One Day in the Life of Ivan Denisovich (trans. Ralph Parker) / Vladimir Sorokin Day of the Oprichnik / Mikhail Lermontov A Hero of Our Time / Mikhail Bulgakov The Master and Margarita (trans. Michael Glenny) / Roman Senchin MINUS / Alan Cherchesov Requiem for the Living /Off the Beaten Tracks: Stories by Russian Hitchhikers / Oleg Zaionchkovski Happiness is Possible / PD Ouspensky Strange Life of Ivan Osokin / Alan Cherchesov Requiem for the Living / Leo Tolstoy Anna Karenina / Guzel Yakhina Zuleikha,Alina Bronsky The Hottest Dishes of the Tartar Cuisine,,,Aleksandr Solzhenitsyn One Day in the Life of Ivan Denisovich (trans. Ralph Parker),,,Vladimir Sorokin Day of the Oprichnik,,
Rwanda,Philip Gourevitch We Wish to Inform You that Tomorrow We Will Be Killed with our Families / Jean Hatzfeld Into the Quick of Life / Barassa Teta / John Rusimbi By the Time She Returned / Gilbert Gatore The Past Ahead / Gaël Faye Small Country,Philip Gourevitch We Wish to Inform You that Tomorrow We Will Be Killed with our Families,,,Jean Hatzfeld Into the Quick of Life,,,Barassa Teta,,
Saint Kitts And Nevis,Kitts and Nevis Caryl Phillips / Bertram Roach Only God Can Make a Tree,Kitts and Nevis Caryl Phillips,,,Bertram Roach Only God Can Make a Tre,,,None,,
Saint Lucia,"Lucia Derek Walcott Omeros / Garth St Omer A Room on the Hill; Shades of Grey; Nor Any Country; J-, Black Bam and the Masqueraders / Dr Earl Long Consolation; Voices from a Drum / McDonald Dixon Season of Mist / Michael Aubertin Neg Maron",Lucia Derek Walcott Omeros,,,"Garth St Omer A Room on the Hill; Shades of Grey; Nor Any Country; J-, Black Bam and the Masqueraders",,,Dr Earl Long Consolation; Voices from a Drum,,
Saint Vincent And The Grenadines,Vincent and the Grenadines H Nigel Thomas Spirits in the Dark; Behind the Face of Winter; Return to Arcadia / George Thomas Ruler in Hairoona / Cecil Browne The Moon is Following Me / Richard Byron-Cox Were Mama’s Tears in Vain? / Marcia King-Gamble / Trish St Hill / Nickie Williams /,H Nigel Thomas Spirits in the Dark,,,George Thomas Ruler in Hairoona,,,Cecil Browne The Moon is Following Me,,
Samoa,Misa Telefoni Retzlaff Love and Money / Lani Wendt Young Telesa: The Covenant Keeper / Albert Wendt The Adventures of Vela; Sons for the Return Home; Pouliuli / Sia Figiel Where We Once Belonged; The Girl in the Moon Circle; They Who do not Grieve,Misa Telefoni Retzlaff Love and Money,,,Lani Wendt Young Telesa: The Covenant Keeper,,,Albert Wendt The Adventures of Vela; Sons for the Return Home; Pouliuli,,
San Marino,Marino Giuseppe Rossi The Republic of San Marino,Marino Giuseppe Rossi The Republic of San Marin,,,None,,,None,,
Sao Tome And Principe,Tome and Principe Olinda Beja The Shepherd’s House,Tome and Principe Olinda Beja The Shepherd’s Hous,,,None,,,None,,
Saudi Arabia,Rajaa Al-Sanea Girls of Riyadh / Raja Alem My Thousand and One Nights: A Novel of Mecca / Abdul Rahman Munif Endings; Cities of Salt; The Trench; Variations on Night and Day / ed. Abubaker Bagader Voices of Change / Ghazi Abdul Rahman Al Gosaibi,Rajaa Al-Sanea Girls of Riyadh,,,Raja Alem My Thousand and One Nights: A Novel of Mecca,,,Abdul Rahman Munif Endings; Cities of Salt; The Trench; Variations on Night and Day,,
Senegal,Mariama Bâ So Long a Letter / Ken Bugul Riwan ou Le Chemin de Sable (Riwan or The Path of Sand) / Boubacar Boris Diop Doomi Golo: The Hidden Notebooks,Mariama Bâ So Long a Letter,,,Ken Bugul Riwan ou Le Chemin de Sable (Riwan or The Path of Sand),,,Boubacar Boris Diop Doomi Golo: The Hidden Notebook,,
Serbia,Milos Crnjanski A Novel About London; Migrations / Danilo Kiš / David Albahari Bait / Milorad Pavic Dictionary of the Khazars / Srdjan Valjarevic Lake Como / Zoran Živkovi?,Milos Crnjanski A Novel About London; Migrations,,,Danilo Kiš,,,David Albahari Bait,,
Seychelles,Glynn Burridge Voices / William Travis Beyond the Reefs; Shark for Sale,Glynn Burridge Voices,,,William Travis Beyond the Reefs; Shark for Sal,,,None,,
Sierra Leone,Leone Aminatta Forna The Memory of Love / Ishmael Beah A Long Way Gone,Leone Aminatta Forna The Memory of Love,,,Ishmael Beah A Long Way Gon,,,None,,
Singapore,Su-Chen Christine Lim Fistful of Colours,Su-Chen Christine Lim Fistful of Colour,,,None,,,None,,
Slovakia,Pavol Rankov / Peter Piš?anek Rivers of Babylon / Daniela Kapitánová Samko Tale’s Cemetery Book / Jana Be?ová Seeing People Off,Pavol Rankov,,,Peter Piš?anek Rivers of Babylon,,,Daniela Kapitánová Samko Tale’s Cemetery Book,,
Slovenia,"Slavoj Žižek / Nataša Kramberger Heaven in a Blackberry Bush, a Novel in Stories / Andrej Blatnik You do Understand / Andrej Skubic Fužine Blues / Miha Mazzini The German Lottery / Vladimir Bartol Alamut / Luka Novak The Golden Shower or What Men Want / Vladimir Bartol Alamut",Slavoj Žižek,,,"Nataša Kramberger Heaven in a Blackberry Bush, a Novel in Stories",,,Andrej Blatnik You do Understand,,
Solomon Islands,John Saunana The Alternative / ed. Alice Aruhe’eta Pollard and Marilyn J. Waring Being the First: Storis Blong Oloketa Mere lo Solomon Aelan / Celo Kulagoe,John Saunana The Alternative,,,ed. Alice Aruhe’eta Pollard and Marilyn J. Waring Being the First: Storis Blong Oloketa Mere lo Solomon Aelan,,,Celo Kulago,,
Somalia,Nuruddin Farah Secrets; Sweet and Sour Milk,Nuruddin Farah Secrets,,,None,,,None,,
South Africa,"Gavin Evans Dancing Shoes is Dead / Ingrid Winterbach The Book of Happenstance / Damon Galgut The Quarry / Kgebetli Moele The Book of the Dead / Diane Awerbuck Cabin Fever / Siphiwo Mahala African Delights / Henrietta Rose-Innes Nineveh / Ivan Vladislavic The Loss Library / Nelson Mandela The Long Walk to Freedom / Alan Paton Cry, the Beloved Country / Bryce Courtenay The Power of One / Dalene Matthee Fiela’s Child; Circles in the Forest",Gavin Evans Dancing Shoes is Dead,,,Ingrid Winterbach The Book of Happenstance,,,Damon Galgut The Quarry,,
South Korea,Hwang Sok-yong The Guest; The Old Garden / Lee Hye-Kyung A House on the Road / Shin Kyung-Sook Please Look After Mom / Han Kang The Vegetarian,Hwang Sok-yong The Guest; The Old Garden,,,Lee Hye-Kyung A House on the Road,,,Shin Kyung-Sook Please Look After Mom,,
South Sudan,Julia Duany ‘To Forgive is Divine Not Human’,Julia Duany To Forgive is Divine Not Human,,,None,,,None,,
Spain,Delibes Five Hours with Mario / Javier Cercas Soldiers of Salamis; The Anatomy of a Moment (trans. Anne McClean) / Alberto Mendez The Blind Sunflowers / Miguel de Cervantes Don Quixote (trans. Edith Grossman) / Carlos Ruiz Zafón The Shadow of the Wind / Enrique Vila-Matas Dublinesque / Juan Goytisolo Exiled from Almost Everywhere / Antonio Muñoz Molina Sefarad / Javier Marías The Infatuations / Juan Marsé The Snares of Memory,Delibes Five Hours with Mario,,,Javier Cercas Soldiers of Salamis; The Anatomy of a Moment (trans. Anne McClean),,,Alberto Mendez The Blind Sunflowers,,
Sri Lanka,Lanka Romesh Gunesekera Reef / Carl Muller The Jam Fruit Tree / Shehan Karunatilaka Chinaman / Ru Freeman A Disobedient Girl / Siri Gunasinghe The Shadow / Kathleen Jayawardena Circles of Fire / S Ponnuthurai Ritual / Sunethra Rajakarunanayake Metta / Keerthi Welisarage The Doomed / Martin Wickramasinghe,Lanka Romesh Gunesekera Reef,,,Carl Muller The Jam Fruit Tree,,,Shehan Karunatilaka Chinaman,,
Sudan,Amir Tag Elsir The Grub Hunter / Tarek Eltayeb The Palm House / Tayeb Salih Season of Migration to the North / Leila Aboulela Minaret,Amir Tag Elsir The Grub Hunter,,,Tarek Eltayeb The Palm House,,,Tayeb Salih Season of Migration to the North,,
Suriname,Cynthia Mcleod The Cost of Sugar; The Free Negress,Cynthia Mcleod The Cost of Sugar; The Free Negres,,,None,,,None,,
Swaziland,Sarah Mkhonza Weeding the Flowerbeds,Sarah Mkhonza Weeding the Flowerbed,,,None,,,None,,
Sweden,Henning Mankell Chronicler of the Winds / Per Olov Enquist The March of the Musicians (trans. Joan Tate); The Story of Blanche and Marie / Jens Lapidus Easy Money / Karin Altenberg Island of Wings / Jonas Hassen Khemiri Montecore / Hjalmar Soderberg Doctor Glas / Lotta Lotass / Amelie Posse / John Ajvide Lindqvist Let the Right One In / Jonas Jonasson The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared / Lena Andersson Wilful Disregard,Henning Mankell Chronicler of the Winds,,,Per Olov Enquist The March of the Musicians (trans. Joan Tate); The Story of Blanche and Marie,,,Jens Lapidus Easy Money,,
Switzerland,Friedrich Dürrenmatt The Pledge / Hansjörg Schertenlieb A Happy Man / Gottfried Keller A Village Romeo and Juliet / Annemarie Schwarzenbach / Friedrich Glauser In Matto’s Realm / Peter Bichsel Children’s Stories / Aglaja Veteranyi Why the Child is Cooking in the Polenta / Hugo Loetscher Noah / Gerhard Meier Isle of the Dead / Charles-Ferdinand Ramuz Beauty on Earth,Friedrich Dürrenmatt The Pledge,,,Hansjörg Schertenlieb A Happy Man,,,Gottfried Keller A Village Romeo and Juliet,,
Syria,Fadi Azzam Sarmada / Zakaria Tamer Breaking Knees / Ghadda Samman / Rafik Schami Damascus Nights / Hassan Bahri / Hanna Mina Sun on a Cloudy Day / Khaled Khalifa In Praise of Hatred,Fadi Azzam Sarmada,,,Zakaria Tamer Breaking Knees,,,Ghadda Samman,,
Taiwan,Su Wei-chen / Pai Hsien-yung Crystal Boys,Wu Ming-Yi The Stolen Bicycle,,,Pai Hsien-yung Crystal Boy,,,None,,
Tajikistan,Andrei Volos Hurramabad / Sadriddin Aini The Sands of Oxus: Boyhood Reminiscences of Sadriddin Aini,Andrei Volos Hurramabad,,,Sadriddin Aini The Sands of Oxus: Boyhood Reminiscences of Sadriddin Ain,,,None,,
Tanzania,"Muhammed Said Abdulla / Abdulrazak Gurnah Desertion / Edwin Semzaba / Ismael Mbise Blood on Our Land / Agoro Anduru / Adam Shafi / Bethsaida Orphan Girls’ Secondary School Their Voices, Their Stories / Sophia Mustafa Broken Reed / Tengio Urrio The Girl from Uganda / S Ndunguru The Lion of Yola / Ronny Mintjens More Than a Game",Muhammed Said Abdulla,,,Abdulrazak Gurnah Desertion,,,Edwin Semzaba,,
Thailand,Chart Korbjitti The Judgement; No Way Out; Time; Mad Dogs & Co / Kukrit Pramoj / Kampoon Boontawee A Child of the Northeast / Saneh Sangsuk The White Shadow: Portrait of the Artist as a Young Rascal,Chart Korbjitti The Judgement,,,Kukrit Pramoj,,,Kampoon Boontawee A Child of the Northeast,,
Togo,Jeanette D Ahonsou / Pyabelo Chaold Kouly / Tété-Michel Kpomassie An African in Greenland,Jeanette Ahonsou,,,Pyabelo Chaold Kouly,,,Tété-Michel Kpomassie An African in Greenlan,,
Tonga,Joshua Taumoefolau A Providence of War / Epeli Hau’ofa Tales of the Tikongs,Joshua Taumoefolau A Providence of War,,,Epeli Hau’ofa Tales of the Tikong,,,None,,
Trinidad And Tobago,and Tobago VS Naipaul A House for Mr Biswas; In a Free State / Monique Roffey The White Woman on the Green Bicycle / Robert Antoni / Keith Jardim Near Open Water / Earl Lovelace Is Just a Movie / Vahni Capildeo One Scattered Skeleton / Errol John Moon on a Rainbow Shawl,Sam Selvon The Lonely Londoners,,,Monique Roffey The White Woman on the Green Bicycle,,,Robert Antoni,,
Tunisia,Habib Selmi The Scents of Marie-Claire / Abdelwahab Meddeb Talismano / Hassouna Mosbahi A Tunisian Tale / Ali Douagi / Mahmoud Messadi,Habib Selmi The Scents of Marie-Claire,,,Abdelwahab Meddeb Talismano,,,Hassouna Mosbahi A Tunisian Tale,,
Turkey,Orhan Pamuk Snow / Latife Tekin Dear Shameless Death / Elif Shafak The Forty Rules of Love / Erendiz Atasu The Other Side of the Mountain / Murathan Mungan / Orhan Kemal / Halide Edip Ad?var / Re?at Nuri Güntekin / Refik Halit Karay / Sabahattin Ali / Ya?ar Kemal / Kemal Tahir / Fakir Baykurt / Sait Faik Abas?yan?k / Güneli Gün On the Road to Baghdad / Ahmet Hamdi Tanpinar The Time Regulation Institute / Sema Kaygusuz The Well of Trapped Words / Ahmet Altan Endgame,Orhan Pamuk Snow,,,Latife Tekin Dear Shameless Death,,,Elif Shafak The Forty Rules of Love,,
Turkmenistan,John Kropf Unknown Sands / Ak Welsapar The Tale of Aypi; Cobra,John Kropf Unknown Sands,,,Ak Welsapar The Tale of Aypi; Cobr,,,None,,
Uganda,Okot p’Bitek Song of Lawino / Moses Isegawa Abyssinian Chronicles; Snakepit / Doreen Baingan Tropical Fish: Stories Out Of Entebbe / Jennifer Nansubuga Makumbi Kintu / Timothy Wangusa Upon This Mountain / Julius Ocwinyo Fate of the Banished; The Unfulilled Dream; Footprints of the Outsider / Goretti Kyomuhendo The First Daughter; Waiting; Secrets No More / Glaydah Namukasa Voice of Dream,Okot p’Bitek Song of Lawino,,,Moses Isegawa Abyssinian Chronicles; Snakepit,,,Doreen Baingan Tropical Fish: Stories Out Of Entebbe,,
Ukraine,Andrey Kurkov Death and the Penguin / Theodore Odrach Wave of Terror / Nikolai Gogol Evenings on a Farm Near Dikanka,Andrey Kurkov Death and the Penguin,,,Theodore Odrach Wave of Terror,,,Nikolai Gogol Evenings on a Farm Near Dikank,,
United Arab Emirates,Qais Sedki Gold Ring / Maha Gargash The Sand Fish / Ameera Al Hakawati Desperate in Dubai / Mohammad Al Murr The Wink of the Mona Lisa; Dubai Tales,Qais Sedki Gold Ring,,,Maha Gargash The Sand Fish,,,Ameera Al Hakawati Desperate in Dubai,,
United Kingdom,"Angus MacLellan Stories from South Uist / Christina Hall To the Edge of the Sea / Deborah Levy Swimming Home / Siân Melangell Dafydd Y Trydydd Peth / Vanessa Gebbie / Caryl Lewis Martha, Jack and Shanco / Virginia Woolf / Kazuo Ishiguro The Remains of the Day / JK Rowling / ed. Nikesh Shukla The Good Immigrant",Angus MacLellan Stories from South Uist,,,Christina Hall To the Edge of the Sea,,,Deborah Levy Swimming Home,,
United States of America,Neil Gaiman American Gods / Sean Murphy The Time of New Weather / Norton Juster The Phantom Tollbooth / Michael Shaara The Killer Angels / Barbara Kingsolver The Poisonwood Bible / Cormac Mccarthy All the Pretty Horses / Eliot Weinberger / Jhumpa Lahiri / Amy Tan / Sandra Cisneros / Tomas Pynchon/ Hunter S Thompson Fear and Loathing in Las Vegas / Harriette Arnow The Dollmaker,F.Scott Fitzgerald The Great Gatsby,,,Sean Murphy The Time of New Weather,,,Norton Juster The Phantom Tollbooth,,
Uruguay,Juan Carlos Onetti The Shipyard; The Pit and Tonight / Felisberto Hernández Lands of Memory / Rafael Courtoisie / Cristina Peri Rossi /Eduardo Galeano / Mario Benedetti / Horacio Quiroga The Decapitated Chicken,Juan Carlos Onetti The Shipyard; The Pit and Tonight,,,Felisberto Hernández Lands of Memory,,,Rafael Courtoisie,,
Uzbekistan,Sabit Madaliev / Hamid Ismailov The Railway / Bibish The Dancer from Khiva: One Muslim Woman’s Quest for Freedom,Sabit Madaliev,,,Hamid Ismailov The Railway,,,Bibish The Dancer from Khiva: One Muslim Woman’s Quest for Freedo,,
Vanuatu,Sethy Regenvau Laef Blong Mi: From Village to Nation,Sethy Regenvau Laef Blong Mi: From Village to Natio,,,None,,,None,,
Venezuela,Francisco Suniaga / Alberto Barrera Tyszka The Sickness / Ana Teresa Torres / Romulo Gallegos / Federico Vegas Falke,Francisco Suniaga,,,Alberto Barrera Tyszka The Sickness,,,Ana Teresa Torres,,
